
 Activation Function= tanh	 Epochs= 150	 Batch Size= 256	 Drop? =True	 Dropout rate= 0.15	 Result= 0.06514813699319713
 Activation Function= tanh	 Epochs= 150	 Batch Size= 256	 Drop? =True	 Dropout rate= 0.2	 Result= 0.06614488690369193
 Activation Function= tanh	 Epochs= 150	 Batch Size= 256	 Drop? =True	 Dropout rate= 0.25	 Result= 0.06748821835188583
 Activation Function= tanh	 Epochs= 150	 Batch Size= 256	 Drop? =False	 Dropout rate= 0.1	 Result= 0.06353299160846795
 Activation Function= tanh	 Epochs= 150	 Batch Size= 256	 Drop? =False	 Dropout rate= 0.15	 Result= 0.06556757041315982
 Activation Function= tanh	 Epochs= 150	 Batch Size= 256	 Drop? =False	 Dropout rate= 0.2	 Result= 0.06244224991681038
 Activation Function= tanh	 Epochs= 150	 Batch Size= 256	 Drop? =False	 Dropout rate= 0.25	 Result= 0.0640322463237855
 Activation Function= relu	 Epochs= 150	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.1	 Result= 0.05518285703399907
 Activation Function= relu	 Epochs= 150	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.15	 Result= 0.06388953480793201
 Activation Function= relu	 Epochs= 150	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.2	 Result= 0.06964448558679526
 Activation Function= relu	 Epochs= 150	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.25	 Result= 0.06755629383485535
 Activation Function= relu	 Epochs= 150	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.1	 Result= 0.05121506533507762
 Activation Function= relu	 Epochs= 150	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.15	 Result= 0.056459024964623725
 Activation Function= relu	 Epochs= 150	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.2	 Result= 0.05040707975730248
 Activation Function= relu	 Epochs= 150	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.25	 Result= 0.04967399246279506
 Activation Function= relu	 Epochs= 150	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.1	 Result= 0.0579105396156964
 Activation Function= relu	 Epochs= 150	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.15	 Result= 0.05835419438727226
 Activation Function= relu	 Epochs= 150	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.2	 Result= 0.06896665542089063
 Activation Function= relu	 Epochs= 150	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.25	 Result= 0.07356704353377677
 Activation Function= relu	 Epochs= 150	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.1	 Result= 0.05443196304455243
 Activation Function= relu	 Epochs= 150	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.15	 Result= 0.05287858600105005
 Activation Function= relu	 Epochs= 150	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.2	 Result= 0.05825724440074336
 Activation Function= relu	 Epochs= 150	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.25	 Result= 0.05748112677042184
 Activation Function= relu	 Epochs= 150	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.1	 Result= 0.056598390854228624
 Activation Function= relu	 Epochs= 150	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.15	 Result= 0.05911149062972138
 Activation Function= relu	 Epochs= 150	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.2	 Result= 0.06358442933990739
 Activation Function= relu	 Epochs= 150	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.25	 Result= 0.06722384805361489
 Activation Function= relu	 Epochs= 150	 Batch Size= 32	 Drop? =False	 Dropout rate= 0.1	 Result= 0.05540276858127159
 Activation Function= relu	 Epochs= 150	 Batch Size= 32	 Drop? =False	 Dropout rate= 0.15	 Result= 0.05374999305066736
